,label,area,perimeter,max_intensity,mean_intensity,min_intensity,solidity,minor_axis_length,major_axis_length,eccentricity,bbox-0,bbox-1,bbox-2,bbox-3,q1_intensity,q2_intensity,q3_intensity,filename,cl,noncompactness,q1q2,mima,im_id,schistocyt,cls
0,1,36.33392791492491,26.954167386116932,198,176.57105381502024,159,0.9375307427447123,4.970609097943769,10.10488035756814,0.8706506726119122,0,58,151,323,220.50910000000002,221.65329999999997,222.7995,TP1_a.jpg,1,19.995832577748185,0.9948378842092586,0.49190182585595754,1,False,0
1,2,23.106983837366048,18.56530778771751,198,175.15444902769593,160,0.9918176504967855,4.826479480182961,6.2155014557227695,0.6300889775287382,0,340,126,502,171.0683,177.2145,182.42700000000002,TP1_a.jpg,1,14.916297846511727,0.9653177364154739,0.77652294260813,1,False,0
2,3,13.278686292397978,15.433571341773272,198,180.2078547990156,166,0.9394990366088632,3.473244212617689,5.17871480166199,0.7417496488262327,0,549,95,689,169.64130000000003,174.276,180.335425,TP1_a.jpg,1,17.938154356276304,0.9734059767265718,0.6706768659094783,1,False,0
3,4,63.268474013153416,43.71008447695598,203,180.55355644033142,156,0.8237452798411544,6.886636651092043,13.831007249894064,0.8672270545101571,0,840,248,1155,176.0683,179.427,185.2145,TP1_a.jpg,1,30.19784363039044,0.9812809666326695,0.49791287985513777,1,True,1
4,5,6.4909246878446645,12.506641262312217,198,174.92888609188168,164,0.9818743563336766,1.8221319389077482,4.952996610880322,0.929871393204699,0,1432,49,1577,173.21450000000002,181.0683,187.427,TP1_a.jpg,1,24.097656834177357,0.9566252071732049,0.36788475382863045,1,True,1
5,6,39.00001361637233,26.002175139872527,198,169.99465819426018,158,0.9643771043771043,5.790739900808303,9.110374077116035,0.7720017274781431,0,1731,159,1972,169.0683,172.06830000000002,179.0683,TP1_a.jpg,1,17.336227588412186,0.9825650628267959,0.6356204313666789,1,False,0
6,7,15.261230103075938,16.823123159097715,198,178.9907209136331,163,0.9852320675105485,3.232222976998497,6.387983657758649,0.8625423628719024,0,1982,87,2155,164.3587,168.8558,174.8558,TP1_a.jpg,1,18.544866364941775,0.9733672162875069,0.5059848537766276,1,False,0
7,8,6.429651012377282,12.276285517400066,198,177.8761118170267,168,0.984160066694456,1.7982256508591448,4.970010466836901,0.9322498133475283,0,2184,48,2326,173.9241,178.92409999999998,184.852,TP1_a.jpg,1,23.43940375840158,0.9720551898821904,0.3618152643456307,1,True,1
8,9,23.695211121852914,19.164667222666562,199,181.32002068727732,159,0.9853907134767836,4.787558408144104,6.426769826978825,0.6671313829047172,0,2416,133,2579,173.06830000000002,175.9241,182.06830000000002,TP1_a.jpg,1,15.500367051670704,0.9837668630960739,0.7449400767468746,1,False,0
9,10,33.449980256260126,22.167609129565708,204,178.04538793454367,161,0.9869430717930175,6.1736238078824135,6.910052761174912,0.4492095326899493,14,2733,199,2910,175.85580000000002,181.21450000000002,187.85780000000003,TP1_a.jpg,1,14.690678163531635,0.9704289667769411,0.8934264355505032,1,False,0
10,11,21.614629430427144,17.934742778323834,198,176.3920876905632,162,0.9815123972052185,5.045717147704973,5.5387620507005515,0.41244427120048827,17,1163,162,1307,170.8558,175.89095000000003,185.2107,TP1_a.jpg,1,14.881356146307175,0.9713734561101635,0.9109828336219612,1,False,0
11,12,38.81755422720279,24.631430259517753,198,167.19857583836117,154,0.9722061180643181,5.780313031436718,8.628004076916977,0.7424081353321981,33,1484,216,1703,171.85580000000002,175.85580000000002,180.5029,TP1_a.jpg,1,15.62971621237061,0.977254091136033,0.6699478790119189,1,False,0
12,13,38.85431843248322,24.32573759355975,198,165.9248291571754,154,0.9821367109520204,5.998728399925492,8.32473441436506,0.693360412802494,38,2952,212,3168,161.50289999999998,163.85580000000002,171.0683,TP1_a.jpg,1,15.229748798682179,0.9856404228596117,0.7205909643885046,1,False,0
